Prunella vulgaris;FE 3-5-1;;;;;;;;;;;;;;;;;
Ranunculus acris;FE 3-5-1;;;;;;;;;;;;;;;;;
Ranunculus bulbosus;FE 3-5-1;;;;;;;;;;;;;;;;;
Ranunculus ficaria;FE 3-5-1;;;;;;;;;;;;;;;;;
Ranunculus montanus;FE 3-5-1;;;;;;;;;;;;;;;;;
Ranunculus repens;FE 3-5-1;;;;;;;;;;;;;;;;;
Rhinanthus minor;FE 3-5-1;;;;;;;;;;;;;;;;;
Rumex acetosa;FE 3-5-1;;;;;;;;;;;;;;;;;
Rumex sanguineus;FE 3-5-1;;;;;;;;;;;;;;;;;
Silene alba;FE 3-5-1;;;;;;;;;;;;;;;;;
Silene flos-cuculi;FE 3-5-1;;;;;;;;;;;;;;;;;
Stellaria media;FE 3-5-1;;;;;;;;;;;;;;;;;
Taraxacum officinale;FE 3-5-1;;;;;;2;;;;;;;;;;;
Taraxacum sect Ruderalia;FE 3-5-1;;;;;;;;;;;;;;;;;
Thlaspi arvense;FE 3-5-1;;;;;;;;;;;;;;;;;
Tragopodon pratensis;FE 3-5-1;;;;;;;;;;;;;;;;;
Trifolium dubium;FE 3-5-1;;;;;;;;;;;;;;;;;
Trifolium incarnatum;FE 3-5-1;;;;;;;;;;;;;;;;;
Trifolium medium;FE 3-5-1;;;;;;;;;;;;;;;;;
Trifolium pratense;FE 3-5-1;;;;;;;;;;;;;;;;;
Trifolium repens;FE 3-5-1;;;;;;;;;;;;;;;;;
Trisetum flavescens;FE 3-5-1;;;;;;;;;;;;;;;;;
Trollius europaeus;FE 3-5-1;;;;;;;;;;;;;;;;;
Veronica arvensis;FE 3-5-1;;;;;;;;;;;;;;;;;
Veronica chamaedrys;FE 3-5-1;;;;;;;;;;;;;;;;;
Veronica filiformis;FE 3-5-1;;;;;;;;;;;;;;;;;
Veronica hederifolia;FE 3-5-1;;;;;;;;;;;;;;;;;
Veronica persica;FE 3-5-1;;;;;;;;;;;;;;;;;
Veronica polita;FE 3-5-1;;;;;;;;;;;;;;;;;
Veronica serpyllifolia;FE 3-5-1;;;;;;;;;;;;;;;;;
Vicia angustifolia;FE 3-5-1;;;;;;;;;;;;;;;;;
Vicia cracca;FE 3-5-1;;;;;;;;;;;;;;;;;
Vicia hirsuta;FE 3-5-1;;;;;;;;;;;;;;;;;
Vicia sepium;FE 3-5-1;;;;;;;;;;;;;;;;;
Vicia tetrasperma;FE 3-5-1;;;;;;;;;;;;;;;;;
Achillea millefolium;FE 3-3-2;;;;;;;;;;;;;;;;;
Agrostis capillaris;FE 3-3-2;;;;;;;;;;;;;;;;;
Agrostis gigantea;FE 3-3-2;;;;;;;;;;;;;;;;;
Agrostis stolonifera;FE 3-3-2;;;;;;;;;;;;;;;;;
Ajuga reptans;FE 3-3-2;;;;;;;;;;;;;;;;;
Alchemilla monticula;FE 3-3-2;;;;;;;;;;;;;;;;;
Alchemilla vulgaris;FE 3-3-2;;;;;;;;;;;;;;;;;
Alopecurus pratensis;FE 3-3-2;;;;;;;;;;;;;;;;;
Anthoxanthum odoratum;FE 3-3-2;;;;;;;;;;;;;;;;;
Arabidopsis thaliana;FE 3-3-2;;;;;;;;;;;;;;;;;
Arrhenatherum elatius;FE 3-3-2;;;;;;;;;;;;;;;;;
Bellis perennis;FE 3-3-2;;;;;;;;;;;;;;;;;
Bistorta officianilis;FE 3-3-2;;;;;;;;;;;;;;;;;
Briza media;FE 3-3-2;;;;;;;;;;;;;;;;;
Cardamine amara;FE 3-3-2;;;;;;;;;;;;;;;;;
Cardamine hirsuta;FE 3-3-2;;;;;;;;;;;;;;;;;
Carex humilis;FE 3-3-2;;;;;;;;;;;;;;;;;
Carex montana;FE 3-3-2;;;;;;;;;;;;;;;;;
Carex spicata cf;FE 3-3-2;;;;;;;;;;;;;;;;;
Carex sylvatica;FE 3-3-2;;;;;;;;;;;;;;;;;
Carum carvi;FE 3-3-2;;;;;;;;;;;;;;;;;
Centaurea jacea;FE 3-3-2;;;;;;;;;;;;;;;;;
Cerastium holosteoides;FE 3-3-2;;;;;;;;;;;;;;;;;
Chaerophyllum temulum;FE 3-3-2;;;;;;;;;;;;;;;;;
Crepis aurea;FE 3-3-2;;;;;;;;;;;;;;;;;
Crepis biennis;FE 3-3-2;;;;;;;;;;;;;;;;;
Crocus albiflorus;FE 3-3-2;;;;;;;;;;;;;;;;;
Cynosurus cristatus;FE 3-3-2;;;;;;;;;;;;;;;;;
Dactylis glomerata;FE 3-3-2;;;;;;;;;;;;;;;;;
Daucus carota;FE 3-3-2;;;;;;;;;;;;;;;;;
Deschampsia flexuosa;FE 3-3-2;;;;;;;;;;;;;;;;;
Draba verna;FE 3-3-2;;;;;;;;;;;;;;;;;
Elymus caninus;FE 3-3-2;;;;;;;;;;;;;;;;;
Elymus repens;FE 3-3-2;;;;;;;;;;;;1;14;14;15;15;15
Equisetum arvense;FE 3-3-2;;;;;;;;;;;;;;;;;
Euphrasia stricta;FE 3-3-2;;;;;;;;;;;;;;;;;
Festuca pratensis;FE 3-3-2;;;;;;;;;;;;;;;;;
Festuca rubra;FE 3-3-2;;;;;;;;;;;;;;;;;
Filipendula ulmaria;FE 3-3-2;;;;;;;;;;;;;;;;;
Galium album;FE 3-3-2;;;;;;;;;;;;;;;;;
Geranium rotundifolium;FE 3-3-2;;;;;;;;;;;;;;;;;
Geum rivale;FE 3-3-2;;;;;;;;;;;;;;;;;
Geum urbanum;FE 3-3-2;;;;;;;;;;;;;;;;;
Glechoma hederacea;FE 3-3-2;;;;;;;;;;;;;;;;;
Helictotrichon pubescens;FE 3-3-2;;;;;;;;;;;;;;;;;
Heracleum sphondylium;FE 3-3-2;;;;;;;;;;;;;;;;;
Hieracium aurantiacum;FE 3-3-2;;;;;;;;;;;;;;;;;
Hieracium Macranthum;FE 3-3-2;;;;;;;;;;;;;;;;;
Hieracium pilosella ;FE 3-3-2;;;;;;;;;;;;;;;;;
Holcus lanatus;FE 3-3-2;;;;;;;;;;;;;;;;;
Hypochaeris radicata;FE 3-3-2;;;;;;;;;;;;;;;;;
Knautia arvensis;FE 3-3-2;;;;;;;;;;;;;;;;;
Lamium purpureum;FE 3-3-2;;;;;;;;;;;;;;;;;
Lathyrus pratensis;FE 3-3-2;;;;;;;;;;;;;;;;;
Leontodon autumnalis;FE 3-3-2;;;;;;;;;;;;;;;;;
Leontodon helveticus;FE 3-3-2;;;;;;;;;;;;;;;;;
Leontodon hispidus;FE 3-3-2;;;;;;;;;;;;;;;;;
Leucanthemum ircutianum;FE 3-3-2;;;;;;;;;;;;;;;;;
