BT 1-5-5;Festuca rubra;;;;;;;;;;;;45;50;61;50;50;45;45
BT 1-5-5;Lamium purpureum;;;;1;1;19;5;2;;;;;;;;;;
BT 1-5-5;Veronica hederifolia;;;;1;1;1;1;;;;;;;;;;;
BT 1-6-2;Agrostis capillaris;;;;;;;;;;;;;;;;7;19;25
BT 1-6-2;Dactylis glomerata;;;;;;;;;;;;;;;;2;1;
BT 1-6-2;Festuca rubra;;;;;;;;;;;;42;30;26;26;26;25;1
BT 1-6-2;Holcus lanatus;;;;;;;;;;;;;;;1;;;
BT 1-6-2;Lolium perenne;;;;;;;;;;;;;;;7;;;
BT 1-6-2;Pilosella piloselloides;;;;;;;;;;;;;;1;8;7;;
BT 1-6-2;Poa pratensis;;;;;;;;;;;;4;2;1;;;;
BT 1-6-2;Veronica hederifolia;;;1;4;;;;1;;;;;;;;;;
BT 1-6-2;Veronica persica;;;;;5;3;4;;;;;;;;;;;
BT 1-6-4;Achillea millefolium;;;;;;;;;;;;;;8;8;8;5;3
BT 1-6-4;Festuca rubra;;;;;;;;;;;;;;;3;2;2;
BT 1-6-4;Lolium perenne;;;;;;;;;;;;;;;;3;;
BT 1-6-4;Plantago lanceolata;;;;;;;;;;;;3;;;;;;
BT 1-6-5;Achillea millefolium;;;;;;;;;;;;;15;10;6;75;75;50
BT 1-6-5;Elymus repens;;;;;;;;;;;;;;;;;;1
BT 1-6-5;Rumex acetosa;;;;;;;;;;;;;;;;2;;
BT 1-7-1;Achillea millefolium;;;;;;;;;;;;;4;5;22;62;65;40
BT 1-7-1;Centaurea jacea;;;;;;;;;;;;;;;;;;60
BT 1-7-1;Pilosella piloselloides;;;;;;;;;;;;;;;10;15;;
BT 1-7-2;Festuca rubra;;;;;;;;;;;;17;21;;39;40;30;2
BT 1-7-2;Pilosella piloselloides;;;;;;;;;;;;;;;2;1;;
BT 1-7-3;Achillea millefolium;;;;;;;;;;;;;;;;10;3;
BT 1-7-3;Pilosella piloselloides;;;;;;;;;;;;;;;4;4;6;
BT 1-8-1;Centaurea jacea;;;;;;;;;;;;;;;;;110;80
BT 1-8-1;Festuca rubra;;;;;;;;;;;;4;;;4;1;1;
BT 1-8-1;Pilosella piloselloides;;;;;;;;;;;;;;5;4;;;
BT 1-8-1;Rumex acetosa;;;;;;;;;1;1;;;;1;;;;
BT 1-8-4;Agrostis capillaris;;;;;;;;;;;;;;;;19;45;30
