plotID;origin;recipient;65;72;79;87;93;100;107;114;122;128;135;142;148;156;163;170;175;183;190
BT 1-1-4;BT;BT;10;15;40;40;30;50;70;80;90;95;99;100;100;100;100;100;100;;
BT 1-3-5;BT;BT;20;25;60;60;45;60;70;75;70;70;90;95;100;100;100;95;100;;
GW 3-8-2;GW;BT;20;20;20;20;25;35;40;40;55;55;85;95;100;100;100;100;100;;
SP 2-5-2;SP;BT;1;5;5;5;15;20;25;35;70;70;85;95;95;95;90;95;90;;
SP 2-1-2;SP;BT;2;5;15;15;20;20;25;30;75;65;80;95;95;97;95;95;95;;
FE 2-1-3;FE;BT;15;15;35;35;30;30;35;40;65;65;50;50;95;90;90;80;85;;
EB 1-7-2;EB;BT;5;7;10;10;10;10;10;10;20;20;25;25;60;70;90;65;70;;
EB 2-1-3;EB;BT;5;10;45;45;30;30;30;40;80;80;75;95;95;97;95;95;95;;
BT 1-4-4;BT;BT;10;20;40;40;35;50;60;75;75;75;95;95;100;100;100;100;100;;
GW 3-6-2;GW;BT;3;5;7;7;15;15;15;20;60;60;95;100;100;100;100;100;100;;
GW 1-2-3;GW;BT;70;70;75;75;90;90;95;95;95;95;99;100;100;100;100;95;50;;
SP 1-9-1;SP;BT;10;15;30;30;50;55;60;70;80;80;85;80;100;100;100;85;10;;
FE 3-2-1;FE;BT;80;80;95;95;95;95;97;97;95;95;90;100;100;100;100;100;15;;
FE 3-6-2;FE;BT;60;75;90;95;98;99;99;100;100;100;100;100;100;100;100;100;25;;
EB 1-1-4;EB;BT;25;35;50;50;70;70;70;70;95;95;85;100;100;100;100;95;10;;
BT 1-2-3;BT;BT;60;70;60;60;70;80;90;97;100;100;100;100;100;100;100;100;95;;
BT 1-5-5;BT;BT;25;35;45;45;45;50;50;50;65;65;35;45;55;55;65;55;10;;
GW 3-2-3;GW;BT;25;35;40;40;60;65;70;75;80;80;90;75;100;100;97;95;10;;
SP 1-6-2;SP;BT;15;20;30;30;60;60;60;60;55;35;50;60;55;90;85;55;5;;
SP 1-8-1;SP;BT;25;30;50;55;80;80;80;75;65;60;70;55;90;100;60;75;8;;
FE 1-7-1;FE;BT;60;60;80;80;90;90;90;95;85;85;90;80;100;95;90;85;5;;
EB 2-9-3;EB;BT;15;25;30;45;55;55;55;55;60;60;60;75;95;100;95;90;5;;
EB 1-5-4;EB;BT;20;30;25;30;75;75;75;75;50;50;60;45;90;55;55;50;3;;
BT 1-4-3;BT;BT;25;25;30;40;60;80;95;100;100;100;100;100;100;100;100;100;95;;
GW 1-6-2;GW;BT;25;25;45;45;35;40;40;40;50;50;65;65;70;80;95;60;5;;
GW 3-9-3;GW;BT;20;25;40;50;60;95;100;100;100;100;100;100;100;100;100;100;100;;
SP 1-4-1;SP;BT;5;7;8;10;15;15;15;15;50;50;60;60;100;95;25;5;5;;
FP 1-2-8;FP;BT;2;5;5;5;10;10;10;10;15;15;15;15;10;15;25;5;1;;
FE 3-2-3;FE;BT;40;15;75;75;75;75;80;80;95;95;95;70;100;100;22;55;10;;
EB 4-2-3;EB;BT;10;15;25;25;30;30;30;30;40;40;60;50;55;55;25;1;1;;
BT 1-2-1;BT;BT;50;60;65;70;70;80;80;90;99;99;100;100;100;100;100;100;100;;
FP 1-2-2;FP;BT;1;1;1;1;2;2;2;2;5;5;10;2;5;40;10;3;5;;
GW 2-8-2;GW;BT;15;20;38;40;40;40;50;50;65;75;80;65;95;100;100;50;10;;
SP 2-4-1;SP;BT;10;20;28;28;45;50;55;55;75;75;70;60;85;100;100;55;5;;
BT 1-3-3;BT;BT;40;40;68;68;60;70;75;80;65;80;90;90;100;100;95;100;5;;
FE 1-2-2;FE;BT;1;5;25;25;50;75;95;100;100;100;100;100;100;100;100;100;90;;
EB 4-1-2;EB;BT;5;5;8;8;10;10;10;15;15;15;30;35;25;45;50;0;1;;
SP 1-6-1;SP;BT;25;30;30;35;55;55;60;65;90;85;90;90;100;100;95;75;5;;
FP 1-2-4;FP;BT;2;5;5;5;12;15;15;15;20;35;40;75;85;55;50;45;10;;
GW 2-1-1;GW;BT;15;20;20;20;60;60;70;70;85;80;80;70;100;100;100;100;90;;
EB 4-3-3;EB;BT;25;25;50;55;70;75;85;90;95;95;95;95;100;100;80;65;3;;
BT 1-7-3;BT;BT;15;20;30;40;60;70;75;75;80;60;80;65;95;55;65;55;1;;
FE 1-2-3;FE;BT;30;40;55;55;80;90;95;97;80;80;75;80;100;75;95;85;10;;
BT 1-9-2;BT;BT;35;40;45;45;45;60;80;90;100;100;100;100;100;100;100;100;95;;
GW 1-7-1;GW;BT;20;30;55;55;65;65;75;75;85;90;85;95;100;100;100;100;100;;
SP 2-3-2;SP;BT;5;15;20;30;70;70;75;80;95;95;100;100;100;100;100;100;90;;
SP 2-7-2;SP;BT;15;20;35;35;55;75;90;95;100;100;100;100;100;100;100;100;85;;
FE 2-3-3;FE;BT;40;50;50;50;60;60;70;75;90;90;90;70;95;85;95;95;85;;
EB 2-2-1;EB;BT;15;20;35;40;70;75;80;85;85;90;95;95;100;100;95;95;80;;
EB 1-2-1;EB;BT;10;20;15;25;60;60;70;75;90;100;90;90;100;100;95;95;95;;
BT 1-3-1;BT;BT;40;45;45;45;60;65;75;85;100;100;100;100;100;100;100;100;100;;
GW 3-5-2;GW;BT;2;5;8;10;30;50;60;75;100;100;100;100;100;100;100;100;100;;
GW 2-2-3;GW;BT;20;25;45;45;40;50;60;70;80;80;75;70;100;100;100;95;75;;
SP 1-2-1;SP;BT;5;15;50;45;60;60;75;90;100;100;100;100;100;100;100;95;90;;
FE 3-4-3;FE;BT;15;20;35;35;55;55;60;65;55;60;80;70;95;95;85;85;65;;
FE 3-6-1;FE;BT;15;20;25;30;40;45;50;60;40;40;90;80;90;100;80;95;65;;
EB 1-9-2;EB;BT;80;85;65;65;95;97;98;99;100;100;100;100;100;100;100;100;100;;
BT 1-6-4;BT;BT;15;40;20;25;90;95;97;100;100;100;100;100;100;100;100;100;80;;
FP 1-2-9;FP;BT;2;5;5;10;10;10;10;15;20;20;30;25;70;60;25;5;5;;
GW 1-9-3;GW;BT;15;20;40;40;50;50;50;50;25;25;35;50;90;80;95;55;65;;
SP 2-9-2;SP;BT;2;5;15;15;45;60;60;65;80;85;95;100;100;100;100;85;50;;
BT 1-9-3;BT;BT;50;55;90;90;95;95;95;95;100;100;100;100;100;100;100;95;85;;
