Trisetum flavescens;EB 1-7-4;;;;;;5;20;20;5
Trollius europaeus;EB 1-7-4;;;;;;;;;
Veronica arvensis;EB 1-7-4;;;;;;;;;
Veronica chamaedrys;EB 1-7-4;;;;;;4;1;;
Veronica filiformis;EB 1-7-4;;;;;;;;;
Veronica hederifolia;EB 1-7-4;;;;;;;;;
Veronica persica;EB 1-7-4;;;;;;;;;
Veronica polita;EB 1-7-4;;;;;;;;;
Veronica serpyllifolia;EB 1-7-4;;;;;;;;;
Vicia angustifolia;EB 1-7-4;;;;;;;;;
Vicia cracca;EB 1-7-4;;;;;;;;;
Vicia hirsuta;EB 1-7-4;;;;;;;;;
Vicia sepium;EB 1-7-4;;;;;;;;;
Vicia tetrasperma;EB 1-7-4;;;;;;;;;
Achillea millefolium;EB 1-3-3;;;;;;;;;
Agrostis capillaris;EB 1-3-3;;;;;;;;;
Agrostis gigantea;EB 1-3-3;;;;;;;;;
Agrostis stolonifera;EB 1-3-3;;;;;;;;;
Ajuga reptans;EB 1-3-3;;;;;7;3;;;
Alchemilla monticula;EB 1-3-3;;;;;;;;;
Alchemilla vulgaris;EB 1-3-3;;;;6;6;;;;
Alopecurus pratensis;EB 1-3-3;;;;;;;;;
Anthoxanthum odoratum;EB 1-3-3;;;;;3;4;10;;
Arabidopsis thaliana;EB 1-3-3;;;;;;;;;
Arrhenatherum elatius;EB 1-3-3;;;;;;;;;
Bellis perennis;EB 1-3-3;;;;;1;;;;
Bistorta officianilis;EB 1-3-3;;;;;;;;;
Briza media;EB 1-3-3;;;;;;;;;
Cardamine amara;EB 1-3-3;;;;;;;;;
Cardamine hirsuta;EB 1-3-3;;;;;;;;;
Carex humilis;EB 1-3-3;;;;;;;;;
Carex montana;EB 1-3-3;;;;;;;;;
Carex spicata cf;EB 1-3-3;;;;;;;;;
Carex sylvatica;EB 1-3-3;;;;;;;;;
Carum carvi;EB 1-3-3;;;;;;;;;
Centaurea jacea;EB 1-3-3;;;;;;;;;
Cerastium holosteoides;EB 1-3-3;;;;;;;;;
Chaerophyllum temulum;EB 1-3-3;;;;;;4;1;;
Crepis aurea;EB 1-3-3;;;;;;;;;
Crepis biennis;EB 1-3-3;;;;;;;;;
Crocus albiflorus;EB 1-3-3;;;;;;;;;
Cynosurus cristatus;EB 1-3-3;;;;;;;;;
Dactylis glomerata;EB 1-3-3;;;;;;;;;
Daucus carota;EB 1-3-3;;;;;;;;;
Deschampsia flexuosa;EB 1-3-3;;;;;;;;;
Draba verna;EB 1-3-3;;;;;;;;;
Elymus caninus;EB 1-3-3;;;;;;;;;
Elymus repens;EB 1-3-3;;;;;;;;1;3
Equisetum arvense;EB 1-3-3;;;;;;;;;
Euphrasia stricta;EB 1-3-3;;;;;;;;;
Festuca pratensis;EB 1-3-3;;;;;;;5;10;10
Festuca rubra;EB 1-3-3;;;;;;;;;
Filipendula ulmaria;EB 1-3-3;;;;;;;;;
Galium album;EB 1-3-3;;;;;;;;;
Geranium rotundifolium;EB 1-3-3;;;;;;;;;
Geum rivale;EB 1-3-3;;;;;;;;;
Geum urbanum;EB 1-3-3;;;;;;;;;
Glechoma hederacea;EB 1-3-3;;;;;;;;;
Helictotrichon pubescens;EB 1-3-3;;;;;;;;;
Heracleum sphondylium;EB 1-3-3;;;;;;;;;
Hieracium aurantiacum;EB 1-3-3;;;;;;;;;
Hieracium Macranthum;EB 1-3-3;;;;;;;;;
Hieracium pilosella ;EB 1-3-3;;;;;;;;;
Holcus lanatus;EB 1-3-3;;;;;;;;;
Hypochaeris radicata;EB 1-3-3;;;;;;;;;
Knautia arvensis;EB 1-3-3;;;;;;;;;
Lamium purpureum;EB 1-3-3;;;;;;;;;
Lathyrus pratensis;EB 1-3-3;;;;;;;;;
Leontodon autumnalis;EB 1-3-3;;;;;;;;;
Leontodon helveticus;EB 1-3-3;;;;;;;;;
Leontodon hispidus;EB 1-3-3;;;;;;;;;
Leucanthemum ircutianum;EB 1-3-3;;;;;;;;;
Lolium multiflorum;EB 1-3-3;;;;;;;;;
Lolium perenne;EB 1-3-3;;;;;;;;;
Lotus corniculatus;EB 1-3-3;;;;;;;;;
Luzula campestris;EB 1-3-3;;;;;;;;;
Lychnis flos-cuculi;EB 1-3-3;;;;;;;;;
Myosotis alpestris;EB 1-3-3;;;;;13;3;4;;
Peucedanum oreoselinum;EB 1-3-3;;;;;;;;;
Phleum pratense;EB 1-3-3;;;;;;;;;
Phleum pratensis;EB 1-3-3;;;;;;;;;
Pilosella aurantiaca;EB 1-3-3;;;;;;;;;
Pilosella piloselloides;EB 1-3-3;;;;;;;;;
Pimpinella major;EB 1-3-3;;;;;;;;;
Pimpinella saxifraga;EB 1-3-3;;;;;;;;;
Plantago lanceolata;EB 1-3-3;;;;;;;;;
Poa angustifolia;EB 1-3-3;;;;;;;;;
Poa pratense;EB 1-3-3;;;;;;;;;
Poa pratensis;EB 1-3-3;;;;;;;;;
Poa trivalis ;EB 1-3-3;;;;;;;;;
